id,nombre,municipio_id
688,PQ. EL YAGUAL,143
689,PQ. EL YAGUAL,166
690,PQ. EL YAGUAL,187
691,PQ. EL YAGUAL,200
692,PQ. EL YAGUAL,211
693,PQ. EL YAGUAL,225
694,PQ. EL YAGUAL,226
695,PQ. EL YAGUAL,255
696,PQ. EL YAGUAL,284
697,PQ. EL YAGUAL,304
698,PQ. EL YAGUAL,318
699,PQ. EL YAGUAL,339
700,PQ. EL YAGUAL,346
701,PQ. EL YAGUAL,350
702,PQ. EL YAGUAL,365
703,PQ. GUACHARA,1
704,PQ. GUACHARA,2
705,PQ. GUACHARA,23
706,PQ. GUACHARA,30
707,PQ. GUACHARA,48
708,PQ. GUACHARA,60
709,PQ. GUACHARA,71
710,PQ. GUACHARA,85
711,PQ. GUACHARA,94
712,PQ. GUACHARA,119
713,PQ. GUACHARA,134
714,PQ. GUACHARA,143
715,PQ. GUACHARA,166
716,PQ. GUACHARA,187
717,PQ. GUACHARA,200
718,PQ. GUACHARA,211
719,PQ. GUACHARA,225
720,PQ. GUACHARA,226
721,PQ. GUACHARA,255
722,PQ. GUACHARA,284
723,PQ. GUACHARA,304
724,PQ. GUACHARA,318
725,PQ. GUACHARA,339
726,PQ. GUACHARA,346
727,PQ. GUACHARA,350
728,PQ. GUACHARA,365
729,PQ. MUCURITAS,1
730,PQ. MUCURITAS,2
731,PQ. MUCURITAS,23
732,PQ. MUCURITAS,30
733,PQ. MUCURITAS,48
734,PQ. MUCURITAS,60
735,PQ. MUCURITAS,71
736,PQ. MUCURITAS,85
737,PQ. MUCURITAS,94
738,PQ. MUCURITAS,119
739,PQ. MUCURITAS,134
740,PQ. MUCURITAS,143
741,PQ. MUCURITAS,166
742,PQ. MUCURITAS,187
743,PQ. MUCURITAS,200
744,PQ. MUCURITAS,211
745,PQ. MUCURITAS,225
746,PQ. MUCURITAS,226
747,PQ. MUCURITAS,255
748,PQ. MUCURITAS,284
749,PQ. MUCURITAS,304
750,PQ. MUCURITAS,318
751,PQ. MUCURITAS,339
752,PQ. MUCURITAS,346
753,PQ. MUCURITAS,350
754,PQ. MUCURITAS,365
755,PQ. QUESERAS DEL MEDIO,1
756,PQ. QUESERAS DEL MEDIO,2
757,PQ. QUESERAS DEL MEDIO,23
758,PQ. QUESERAS DEL MEDIO,30
759,PQ. QUESERAS DEL MEDIO,48
760,PQ. QUESERAS DEL MEDIO,60
761,PQ. QUESERAS DEL MEDIO,71
762,PQ. QUESERAS DEL MEDIO,85
763,PQ. QUESERAS DEL MEDIO,94
764,PQ. QUESERAS DEL MEDIO,119
765,PQ. QUESERAS DEL MEDIO,134
766,PQ. QUESERAS DEL MEDIO,143
767,PQ. QUESERAS DEL MEDIO,166
768,PQ. QUESERAS DEL MEDIO,187
769,PQ. QUESERAS DEL MEDIO,200
770,PQ. QUESERAS DEL MEDIO,211
771,PQ. QUESERAS DEL MEDIO,225
772,PQ. QUESERAS DEL MEDIO,226
773,PQ. QUESERAS DEL MEDIO,255
774,PQ. QUESERAS DEL MEDIO,284
775,PQ. QUESERAS DEL MEDIO,304
776,PQ. QUESERAS DEL MEDIO,318
777,PQ. QUESERAS DEL MEDIO,339
778,PQ. QUESERAS DEL MEDIO,346
779,PQ. QUESERAS DEL MEDIO,350
780,PQ. QUESERAS DEL MEDIO,365
781,PQ. LAS DELICIAS,1
782,PQ. LAS DELICIAS,2
783,PQ. LAS DELICIAS,23
784,PQ. LAS DELICIAS,30
785,PQ. LAS DELICIAS,48
786,PQ. LAS DELICIAS,60
787,PQ. LAS DELICIAS,71
788,PQ. LAS DELICIAS,85
789,PQ. LAS DELICIAS,94
790,PQ. LAS DELICIAS,119
791,PQ. LAS DELICIAS,134
792,PQ. LAS DELICIAS,143
793,PQ. LAS DELICIAS,166
794,PQ. LAS DELICIAS,187
795,PQ. LAS DELICIAS,200
796,PQ. LAS DELICIAS,211
797,PQ. LAS DELICIAS,225
798,PQ. LAS DELICIAS,226
799,PQ. LAS DELICIAS,255
800,PQ. LAS DELICIAS,284
801,PQ. LAS DELICIAS,304
802,PQ. LAS DELICIAS,318
803,PQ. LAS DELICIAS,339
804,PQ. LAS DELICIAS,346
805,PQ. LAS DELICIAS,350
806,PQ. LAS DELICIAS,365
807,PQ. CHORONI,1
808,PQ. CHORONI,2
809,PQ. CHORONI,23
810,PQ. CHORONI,30
811,PQ. CHORONI,48
812,PQ. CHORONI,60
813,PQ. CHORONI,71
814,PQ. CHORONI,85
815,PQ. CHORONI,94
816,PQ. CHORONI,119
817,PQ. CHORONI,134
818,PQ. CHORONI,143
819,PQ. CHORONI,166
820,PQ. CHORONI,187
821,PQ. CHORONI,200
822,PQ. CHORONI,211
823,PQ. CHORONI,225
824,PQ. CHORONI,226
825,PQ. CHORONI,255
826,PQ. CHORONI,284
827,PQ. CHORONI,304
828,PQ. CHORONI,318
829,PQ. CHORONI,339
830,PQ. CHORONI,346
831,PQ. CHORONI,350
832,PQ. CHORONI,365
833,PQ. MADRE MA DE SAN JOSE,1
834,PQ. MADRE MA DE SAN JOSE,2
835,PQ. MADRE MA DE SAN JOSE,23
836,PQ. MADRE MA DE SAN JOSE,30
837,PQ. MADRE MA DE SAN JOSE,48
838,PQ. MADRE MA DE SAN JOSE,60
839,PQ. MADRE MA DE SAN JOSE,71
840,PQ. MADRE MA DE SAN JOSE,85
841,PQ. MADRE MA DE SAN JOSE,94
842,PQ. MADRE MA DE SAN JOSE,119
843,PQ. MADRE MA DE SAN JOSE,134
844,PQ. MADRE MA DE SAN JOSE,143
845,PQ. MADRE MA DE SAN JOSE,166
846,PQ. MADRE MA DE SAN JOSE,187
